,LOGRECNO,BLOCK,NAME,HU100,INTPTLAT,INTPTLON,H0030001,H0030002,H0030003,H0060001,H0060002,H0060003,H0060004,H0060005,H0060006,H0060007,H0060008
812,132022,1017,Block 1017,123,33.7722268,-84.3660102,123,111,12,111,81,23,2,0,0,2,3
813,132023,1018,Block 1018,108,33.7724087,-84.3720476,108,104,4,104,5,94,0,2,0,1,2
814,132024,1019,Block 1019,39,33.772026,-84.3737077,39,37,2,37,5,32,0,0,0,0,0
815,132025,1020,Block 1020,3,33.7718196,-84.3762747,3,3,0,3,2,0,0,0,0,0,1
816,132027,2000,Block 2000,46,33.778898,-84.3703938,46,43,3,43,32,9,0,0,0,1,1
817,132028,2001,Block 2001,129,33.7783085,-84.3720294,129,120,9,120,99,15,1,1,0,0,4
818,132029,2002,Block 2002,44,33.7789754,-84.3740415,44,41,3,41,37,3,0,0,0,1,0
819,132030,2003,Block 2003,77,33.7786707,-84.3758313,77,69,8,69,52,9,0,4,0,3,1
820,132031,2004,Block 2004,82,33.7786753,-84.3770434,82,72,10,72,61,5,0,2,0,1,3
821,132032,2005,Block 2005,56,33.7770176,-84.3770507,56,51,5,51,45,1,0,4,0,1,0
822,132033,2006,Block 2006,47,33.7770125,-84.3758488,47,43,4,43,38,2,0,1,0,0,2
823,132034,2007,Block 2007,90,33.7771116,-84.3742486,90,82,8,82,69,6,0,4,0,1,2
824,132035,2008,Block 2008,37,33.7778384,-84.3733672,37,35,2,35,33,1,0,0,0,0,1
825,132036,2009,Block 2009,45,33.7776778,-84.3707047,45,42,3,42,33,7,0,2,0,0,0
826,132038,2011,Block 2011,37,33.7762607,-84.3722606,37,33,4,33,29,0,0,3,0,0,1
827,132040,3000,Block 3000,101,33.775029,-84.3716268,101,90,11,90,80,7,0,1,0,0,2
828,132041,3001,Block 3001,66,33.7757459,-84.3740366,66,61,5,61,56,0,0,4,0,0,1
829,132042,3002,Block 3002,75,33.7757599,-84.376489,75,58,17,58,48,5,0,3,0,0,2
830,132043,3003,Block 3003,65,33.7748796,-84.3767765,65,56,9,56,49,5,0,1,0,1,0
831,132044,3004,Block 3004,79,33.7748977,-84.3743257,79,68,11,68,53,8,0,5,0,2,0
832,132045,3005,Block 3005,95,33.7735495,-84.3744613,95,81,14,81,62,12,0,2,0,3,2
833,132046,3006,Block 3006,96,33.7739919,-84.376807,96,77,19,77,62,8,0,3,0,0,4
834,132047,3007,Block 3007,51,33.773003,-84.3767,51,45,6,45,32,7,0,3,0,2,1
835,132050,1000,Block 1000,173,33.7771966,-84.3611782,173,161,12,161,143,5,3,5,0,0,5
836,132051,1001,Block 1001,22,33.777217,-84.3641219,22,21,1,21,21,0,0,0,0,0,0
837,132052,1002,Block 1002,45,33.7772175,-84.3650211,45,43,2,43,42,0,0,1,0,0,0
838,132053,1003,Block 1003,167,33.7752592,-84.3643825,167,163,4,163,132,13,1,9,0,0,8
839,132054,1004,Block 1004,136,33.7759876,-84.3623647,136,119,17,119,96,18,0,3,0,2,0
840,132055,1005,Block 1005,65,33.7760474,-84.359836,65,61,4,61,56,2,0,1,0,0,2
841,132056,1006,Block 1006,61,33.7750257,-84.3598446,61,58,3,58,51,2,1,3,0,1,0
842,132057,1007,Block 1007,65,33.774989,-84.362288,65,53,12,53,47,2,0,4,0,0,0
843,132058,1008,Block 1008,4,33.7741897,-84.3623607,4,3,1,3,3,0,0,0,0,0,0
844,132059,1009,Block 1009,91,33.774212,-84.3598493,91,88,3,88,79,2,0,5,0,0,2
845,132060,1010,Block 1010,36,33.7724538,-84.3632948,36,36,0,36,20,12,1,0,0,2,1
846,132061,1011,Block 1011,76,33.7724864,-84.3616647,76,74,2,74,60,7,0,4,0,0,3
847,132062,1012,Block 1012,29,33.7722935,-84.3604155,29,29,0,29,25,1,1,2,0,0,0
848,132065,2000,Block 2000,7,33.7814905,-84.3594052,7,7,0,7,7,0,0,0,0,0,0
849,132066,2001,Block 2001,5,33.7814074,-84.360725,5,5,0,5,4,0,0,0,0,0,1
850,132067,2002,Block 2002,22,33.781282,-84.3624261,22,20,2,20,20,0,0,0,0,0,0
851,132068,2003,Block 2003,305,33.7802793,-84.3652904,305,295,10,295,251,15,1,19,0,4,5
852,132069,2004,Block 2004,9,33.7781882,-84.3647723,9,9,0,9,8,0,0,1,0,0,0
853,132070,2005,Block 2005,58,33.7782519,-84.361165,58,54,4,54,53,0,0,1,0,0,0
854,132071,2006,Block 2006,70,33.7794632,-84.36148,70,68,2,68,62,3,0,1,0,0,2
855,132072,2007,Block 2007,26,33.7803949,-84.3612741,26,25,1,25,25,0,0,0,0,0,0
856,132073,2008,Block 2008,17,33.7804627,-84.3593659,17,17,0,17,16,0,0,0,0,0,1
857,132076,1000,Block 1000,126,33.7731384,-84.3498595,126,123,3,123,74,43,0,4,0,0,2
858,132077,1001,Block 1001,32,33.7731331,-84.3516358,32,17,15,17,17,0,0,0,0,0,0
859,132079,1003,Block 1003,126,33.7731332,-84.355407,126,111,15,111,97,9,0,1,0,1,3
860,132080,1004,Block 1004,80,33.7725773,-84.3584719,80,75,5,75,63,2,0,3,0,1,6
861,132082,1006,Block 1006,97,33.7717616,-84.35552,97,93,4,93,86,2,1,1,0,2,1
862,132083,1007,Block 1007,42,33.7717534,-84.3531027,42,36,6,36,34,1,0,0,0,0,1
863,132084,1008,Block 1008,114,33.7718789,-84.3520241,114,111,3,111,100,7,0,0,2,0,2
864,132085,1009,Block 1009,49,33.7716237,-84.3512402,49,49,0,49,39,6,0,3,0,1,0
865,132086,1010,Block 1010,64,33.7717558,-84.3498676,64,60,4,60,57,3,0,0,0,0,0
866,132088,2000,Block 2000,41,33.7814442,-84.3512719,41,41,0,41,40,0,0,1,0,0,0
867,132089,2001,Block 2001,48,33.7817,-84.3534824,48,42,6,42,38,1,0,2,0,0,1
868,132091,2003,Block 2003,30,33.7812308,-84.3544272,30,27,3,27,26,0,0,0,1,0,0
869,132092,2004,Block 2004,47,33.7816665,-84.3569958,47,42,5,42,42,0,0,0,0,0,0
870,132093,2005,Block 2005,31,33.780592,-84.3573689,31,28,3,28,23,2,0,2,0,0,1
871,132094,2006,Block 2006,19,33.7808369,-84.3553786,19,19,0,19,19,0,0,0,0,0,0
872,132095,2007,Block 2007,51,33.7797075,-84.3550208,51,48,3,48,42,4,0,2,0,0,0
873,132096,2008,Block 2008,97,33.7786481,-84.3557815,97,87,10,87,81,3,0,2,0,1,0
874,132097,2009,Block 2009,20,33.7796421,-84.3576775,20,20,0,20,19,0,0,1,0,0,0
875,132098,2010,Block 2010,78,33.7803616,-84.3513175,78,71,7,71,64,4,0,2,0,1,0
876,132099,2011,Block 2011,65,33.778476,-84.3508401,65,44,21,44,39,0,0,0,0,4,1
877,132100,2012,Block 2012,111,33.7784707,-84.3491999,111,66,45,66,50,3,1,1,0,11,0
878,132101,2013,Block 2013,37,33.7784896,-84.3498837,37,20,17,20,11,0,1,0,0,6,2
879,132102,2014,Block 2014,88,33.7786422,-84.35221,88,67,21,67,65,0,0,0,0,0,2
880,132104,3000,Block 3000,88,33.77676,-84.3504356,88,84,4,84,80,1,0,2,0,1,0
881,132105,3001,Block 3001,138,33.7773959,-84.3540641,138,132,6,132,119,7,0,3,0,0,3
882,132106,3002,Block 3002,141,33.7774203,-84.3571323,141,128,13,128,115,7,0,3,0,0,3
883,132107,3003,Block 3003,262,33.7760606,-84.3571334,262,243,19,243,212,16,1,5,0,2,7
884,132109,4000,Block 4000,45,33.775871,-84.3504511,45,44,1,44,43,1,0,0,0,0,0
885,132110,4001,Block 4001,179,33.7760569,-84.3540298,179,159,20,159,137,12,0,4,0,3,3
886,132111,4002,Block 4002,330,33.7746211,-84.3540497,330,301,29,301,175,110,2,5,0,2,7
887,132112,4003,Block 4003,40,33.7749403,-84.3507118,40,33,7,33,30,2,0,1,0,0,0
888,132113,4004,Block 4004,40,33.7741406,-84.3507292,40,30,10,30,25,2,0,3,0,0,0
889,132114,4005,Block 4005,142,33.7746195,-84.3571604,142,102,40,102,87,6,0,4,0,0,5
890,132117,1000,Block 1000,45,33.7705138,-84.3498878,45,40,5,40,34,5,0,0,0,1,0
891,132118,1001,Block 1001,17,33.7702524,-84.3517028,17,17,0,17,17,0,0,0,0,0,0
892,132119,1002,Block 1002,47,33.770083,-84.3544957,47,40,7,40,39,0,0,0,0,0,1
893,132120,1003,Block 1003,36,33.7705715,-84.355915,36,36,0,36,31,4,0,0,0,1,0
894,132121,1004,Block 1004,17,33.769665,-84.3576359,17,16,1,16,14,2,0,0,0,0,0
895,132123,1006,Block 1006,18,33.7701631,-84.361568,18,14,4,14,10,2,0,1,0,0,1
896,132125,1008,Block 1008,92,33.7686629,-84.3602447,92,74,18,74,66,3,0,1,0,2,2
897,132126,1009,Block 1009,248,33.7667094,-84.3593902,248,215,33,215,151,44,0,8,0,4,8
898,132132,1015,Block 1015,75,33.7667683,-84.354129,75,71,4,71,40,22,1,0,0,7,1
899,132133,1016,Block 1016,29,33.7658135,-84.3545682,29,27,2,27,23,2,0,0,0,0,2
900,132135,1018,Block 1018,10,33.7695332,-84.3534911,10,10,0,10,10,0,0,0,0,0,0
901,132137,1020,Block 1020,250,33.7631261,-84.3592915,250,240,10,240,199,20,0,12,0,2,7
902,132138,1021,Block 1021,6,33.7636662,-84.3579329,6,6,0,6,6,0,0,0,0,0,0
903,132142,1025,Block 1025,120,33.7654721,-84.3534803,120,117,3,117,103,2,1,3,0,3,5
904,132143,1026,Block 1026,40,33.7668636,-84.3522537,40,37,3,37,32,2,0,1,0,1,1
905,132144,1027,Block 1027,30,33.7678689,-84.3515454,30,28,2,28,25,2,0,1,0,0,0
906,132145,1028,Block 1028,10,33.7690518,-84.3515243,10,10,0,10,10,0,0,0,0,0,0
907,132146,1029,Block 1029,29,33.7689022,-84.3498586,29,25,4,25,23,0,0,1,0,1,0
908,132147,1030,Block 1030,105,33.766327,-84.3502255,105,102,3,102,88,9,0,3,0,1,1
909,132148,1031,Block 1031,168,33.7646268,-84.3520366,168,153,15,153,133,11,0,3,0,1,5
910,132153,1000,Block 1000,22,33.7682915,-84.3637109,22,22,0,22,19,2,0,0,0,0,1
911,132155,1002,Block 1002,36,33.7690071,-84.3659227,36,30,6,30,16,11,0,1,0,0,2
912,132157,1004,Block 1004,26,33.7666727,-84.3662763,26,24,2,24,10,11,0,0,0,1,2
913,132158,1005,Block 1005,22,33.7654017,-84.365843,22,19,3,19,2,16,0,0,0,1,0
914,132159,1006,Block 1006,30,33.7655512,-84.3684637,30,23,7,23,7,16,0,0,0,0,0
915,132160,1007,Block 1007,31,33.7656445,-84.3697604,31,31,0,31,9,21,0,0,0,0,1
916,132161,1008,Block 1008,45,33.7656291,-84.3711794,45,39,6,39,6,31,0,0,0,1,1
917,132162,1009,Block 1009,58,33.7655756,-84.3723432,58,53,5,53,0,53,0,0,0,0,0
918,132163,1010,Block 1010,38,33.7656138,-84.3731007,38,36,2,36,4,31,0,0,0,1,0
919,132164,1011,Block 1011,26,33.7644037,-84.3727678,26,26,0,26,1,25,0,0,0,0,0
920,132165,1012,Block 1012,63,33.7643964,-84.3698797,63,45,18,45,14,29,1,0,0,0,1
921,132166,1013,Block 1013,19,33.7635876,-84.3698777,19,17,2,17,4,12,0,1,0,0,0
922,132168,1015,Block 1015,76,33.7629811,-84.3651839,76,60,16,60,23,23,1,3,0,9,1
923,132169,1016,Block 1016,26,33.7626607,-84.3672335,26,23,3,23,1,15,0,0,0,7,0
924,132170,1017,Block 1017,323,33.7654178,-84.3616558,323,282,41,282,151,98,0,9,0,1,23
925,132171,1018,Block 1018,41,33.7622677,-84.3684902,41,38,3,38,19,18,0,0,0,0,1
926,132172,1019,Block 1019,50,33.7622782,-84.3698272,50,40,10,40,11,23,0,0,0,6,0
927,132175,1022,Block 1022,30,33.7645621,-84.3645843,30,27,3,27,10,15,0,0,0,1,1
928,132177,1024,Block 1024,28,33.7625182,-84.3628779,28,28,0,28,21,5,0,0,0,1,1
