,LOGRECNO,BLOCK,NAME,HU100,INTPTLAT,INTPTLON,H0030001,H0030002,H0030003,H0060001,H0060002,H0060003,H0060004,H0060005,H0060006,H0060007,H0060008
0,94559,1000,Block 1000,78,33.8028705,-84.3387489,78,59,19,59,36,4,1,1,0,17,0
1,94563,1006,Block 1006,20,33.8013004,-84.3397152,20,20,0,20,17,0,0,1,0,0,2
2,94564,1007,Block 1007,20,33.7992594,-84.34228,20,19,1,19,19,0,0,0,0,0,0
3,94565,1008,Block 1008,2,33.7965362,-84.3432178,2,1,1,1,1,0,0,0,0,0,0
4,94566,1009,Block 1009,14,33.7983207,-84.3434816,14,14,0,14,13,0,0,1,0,0,0
5,94567,1010,Block 1010,30,33.7998709,-84.3432667,30,30,0,30,28,1,0,1,0,0,0
6,94568,1011,Block 1011,30,33.8033609,-84.3442794,30,29,1,29,26,1,0,2,0,0,0
7,94569,1012,Block 1012,31,33.8036338,-84.3473839,31,31,0,31,29,1,0,1,0,0,0
8,94570,1013,Block 1013,10,33.8034567,-84.3481053,10,10,0,10,10,0,0,0,0,0,0
9,94571,1015,Block 1015,1,33.805151,-84.3480785,1,0,1,0,0,0,0,0,0,0,0
10,94573,1017,Block 1017,44,33.8006526,-84.3465114,44,43,1,43,42,0,0,0,0,0,1
11,94574,1018,Block 1018,29,33.8019768,-84.3468743,29,28,1,28,26,2,0,0,0,0,0
12,94575,1019,Block 1019,17,33.8007109,-84.3481236,17,16,1,16,16,0,0,0,0,0,0
13,94576,1020,Block 1020,21,33.7976782,-84.3472753,21,21,0,21,20,1,0,0,0,0,0
14,94577,1021,Block 1021,28,33.7985675,-84.3459963,28,28,0,28,27,0,1,0,0,0,0
15,94578,1022,Block 1022,19,33.7999502,-84.3455481,19,19,0,19,19,0,0,0,0,0,0
16,94579,1023,Block 1023,33,33.8016471,-84.3431092,33,33,0,33,32,1,0,0,0,0,0
17,94580,1024,Block 1024,36,33.7962956,-84.3466678,36,33,3,33,31,1,0,0,0,1,0
18,94582,1026,Block 1026,19,33.797469,-84.3452662,19,17,2,17,16,0,0,1,0,0,0
19,94583,1030,Block 1030,13,33.7923002,-84.3469411,13,12,1,12,10,0,0,2,0,0,0
20,94584,1031,Block 1031,20,33.7930251,-84.3468315,20,20,0,20,20,0,0,0,0,0,0
21,94585,1032,Block 1032,23,33.7939544,-84.3467711,23,22,1,22,21,0,0,0,0,0,1
22,94586,1034,Block 1034,27,33.7950962,-84.3469834,27,26,1,26,24,0,0,2,0,0,0
23,94587,1035,Block 1035,4,33.7942374,-84.348051,4,4,0,4,4,0,0,0,0,0,0
24,94588,1036,Block 1036,3,33.797984,-84.3410505,3,3,0,3,3,0,0,0,0,0,0
25,94591,1000,Block 1000,32,33.7767438,-84.3317872,32,31,1,31,30,0,0,0,0,0,1
26,94592,1001,Block 1001,64,33.7757428,-84.3340228,64,62,2,62,54,0,1,4,0,0,3
27,94593,1002,Block 1002,11,33.774883,-84.3347041,11,10,1,10,8,2,0,0,0,0,0
28,94594,1003,Block 1003,15,33.775437,-84.3358796,15,14,1,14,12,0,0,1,0,0,1
29,94595,1004,Block 1004,5,33.7774383,-84.3342964,5,4,1,4,4,0,0,0,0,0,0
30,94596,1005,Block 1005,30,33.7768269,-84.3376126,30,27,3,27,27,0,0,0,0,0,0
31,94597,1006,Block 1006,84,33.7747998,-84.3382709,84,80,4,80,72,4,0,4,0,0,0
32,94598,1007,Block 1007,13,33.7777246,-84.3399152,13,13,0,13,12,1,0,0,0,0,0
33,94599,1008,Block 1008,30,33.7768371,-84.3425995,30,28,2,28,27,1,0,0,0,0,0
34,94600,1009,Block 1009,1,33.7746555,-84.3431592,1,1,0,1,1,0,0,0,0,0,0
35,94602,1011,Block 1011,10,33.7733575,-84.3396885,10,9,1,9,8,1,0,0,0,0,0
36,94603,1012,Block 1012,18,33.773557,-84.3428531,18,15,3,15,14,0,0,1,0,0,0
37,94604,1013,Block 1013,15,33.7722038,-84.3375548,15,14,1,14,14,0,0,0,0,0,0
38,94605,1014,Block 1014,25,33.7726806,-84.3343084,25,20,5,20,20,0,0,0,0,0,0
39,94606,1015,Block 1015,2,33.7727518,-84.332475,2,1,1,1,1,0,0,0,0,0,0
40,94607,1016,Block 1016,1,33.7737993,-84.3334725,1,1,0,1,1,0,0,0,0,0,0
41,94608,1017,Block 1017,12,33.7716073,-84.3405714,12,9,3,9,9,0,0,0,0,0,0
42,94611,2000,Block 2000,78,33.7809562,-84.3472968,78,68,10,68,66,0,0,1,0,0,1
43,94612,2001,Block 2001,21,33.7812056,-84.3482652,21,21,0,21,20,0,0,0,0,0,1
44,94613,2002,Block 2002,1,33.7779567,-84.3482498,1,1,0,1,0,1,0,0,0,0,0
45,94614,2003,Block 2003,224,33.77855,-84.3472876,224,205,19,205,195,4,0,6,0,0,0
46,94615,2004,Block 2004,11,33.7768089,-84.3479677,11,10,1,10,9,0,0,0,0,1,0
47,94616,2005,Block 2005,323,33.7766254,-84.3458212,323,269,54,269,206,44,0,9,0,7,3
48,94617,2006,Block 2006,8,33.7772996,-84.3462336,8,5,3,5,4,1,0,0,0,0,0
49,94618,2007,Block 2007,2,33.7761172,-84.3482669,2,2,0,2,2,0,0,0,0,0,0
50,94620,2009,Block 2009,7,33.7775328,-84.3466527,7,5,2,5,3,0,0,2,0,0,0
51,94622,2011,Block 2011,36,33.7730521,-84.3465216,36,35,1,35,31,1,0,3,0,0,0
52,94623,2012,Block 2012,27,33.7722121,-84.3451675,27,25,2,25,23,1,0,1,0,0,0
53,94624,2013,Block 2013,67,33.7715441,-84.3453198,67,64,3,64,53,3,0,6,0,0,2
54,94625,2014,Block 2014,2,33.7714145,-84.3419227,2,2,0,2,1,0,0,0,0,0,1
55,94628,1000,Block 1000,1,33.7741128,-84.3302853,1,1,0,1,1,0,0,0,0,0,0
56,94630,1002,Block 1002,41,33.7716106,-84.3317549,41,37,4,37,35,1,0,0,0,1,0
57,94631,1003,Block 1003,20,33.7697633,-84.3324395,20,18,2,18,18,0,0,0,0,0,0
58,94632,1004,Block 1004,19,33.7697574,-84.3312551,19,18,1,18,16,1,0,1,0,0,0
59,94633,1005,Block 1005,31,33.7695865,-84.3295768,31,30,1,30,28,1,0,1,0,0,0
60,94634,1006,Block 1006,30,33.7662336,-84.3289981,30,30,0,30,29,0,0,0,0,0,1
61,94635,1007,Block 1007,28,33.7675243,-84.3268053,28,26,2,26,24,0,0,0,0,2,0
62,94636,1008,Block 1008,43,33.7659103,-84.3276595,43,41,2,41,38,3,0,0,0,0,0
63,94637,1009,Block 1009,39,33.76617,-84.3300628,39,36,3,36,35,0,0,1,0,0,0
64,94638,1010,Block 1010,37,33.7661653,-84.3312282,37,35,2,35,32,2,0,0,0,0,1
65,94639,1011,Block 1011,20,33.7682494,-84.3312458,20,20,0,20,17,1,0,1,0,0,1
66,94640,1012,Block 1012,20,33.7682468,-84.3324214,20,20,0,20,19,1,0,0,0,0,0
67,94641,1013,Block 1013,49,33.7661662,-84.3324145,49,45,4,45,44,1,0,0,0,0,0
68,94643,2000,Block 2000,14,33.7710793,-84.3336004,14,14,0,14,13,1,0,0,0,0,0
69,94644,2001,Block 2001,63,33.7695696,-84.3350597,63,61,2,61,57,3,0,0,0,0,1
70,94646,2003,Block 2003,19,33.7659605,-84.336307,19,17,2,17,15,0,0,2,0,0,0
71,94647,2004,Block 2004,18,33.7654738,-84.335727,18,17,1,17,15,1,0,1,0,0,0
72,94648,2005,Block 2005,34,33.7668504,-84.3347853,34,33,1,33,27,0,2,3,0,0,1
73,94649,2006,Block 2006,32,33.7661617,-84.3335744,32,31,1,31,30,0,0,0,0,0,1
74,94650,2007,Block 2007,23,33.7682384,-84.3335785,23,22,1,22,21,0,0,0,0,0,1
75,94651,2008,Block 2008,22,33.7697616,-84.3335961,22,22,0,22,21,0,0,0,0,1,0
76,94652,2009,Block 2009,43,33.7635745,-84.3362499,43,39,4,39,33,2,0,2,0,2,0
77,94653,2010,Block 2010,40,33.7643766,-84.3384248,40,39,1,39,36,1,2,0,0,0,0
78,94654,2011,Block 2011,15,33.7631932,-84.3380753,15,15,0,15,13,0,0,2,0,0,0
79,94656,2013,Block 2013,31,33.7636573,-84.3345311,31,30,1,30,29,1,0,0,0,0,0
80,94657,2014,Block 2014,14,33.7642544,-84.3354194,14,14,0,14,14,0,0,0,0,0,0
81,94658,2015,Block 2015,29,33.7635203,-84.3334767,29,27,2,27,25,2,0,0,0,0,0
82,94661,3000,Block 3000,43,33.767513,-84.3218365,43,40,3,40,39,1,0,0,0,0,0
83,94662,3001,Block 3001,43,33.7666072,-84.3218231,43,41,2,41,35,4,0,1,0,0,1
84,94663,3002,Block 3002,35,33.7665931,-84.3245616,35,34,1,34,30,0,0,4,0,0,0
85,94664,3003,Block 3003,73,33.7635197,-84.3222601,73,69,4,69,57,8,0,2,0,0,2
86,94665,3004,Block 3004,53,33.765372,-84.3221441,53,52,1,52,51,0,0,1,0,0,0
87,94666,3005,Block 3005,9,33.7657694,-84.3179804,9,9,0,9,8,1,0,0,0,0,0
88,94667,3006,Block 3006,21,33.7650017,-84.3178176,21,20,1,20,20,0,0,0,0,0,0
89,94668,3007,Block 3007,37,33.7646908,-84.3201865,37,34,3,34,33,1,0,0,0,0,0
90,94669,3008,Block 3008,25,33.7639432,-84.3191731,25,21,4,21,21,0,0,0,0,0,0
91,94673,3012,Block 3012,18,33.7622829,-84.3224483,18,16,2,16,15,0,0,0,0,1,0
92,94674,3013,Block 3013,29,33.7616353,-84.3236054,29,17,12,17,15,1,0,0,0,0,1
93,94675,3014,Block 3014,163,33.7630214,-84.3261659,163,152,11,152,132,11,0,4,0,0,5
94,94677,3016,Block 3016,51,33.7613516,-84.324962,51,46,5,46,40,4,0,0,0,0,2
95,94678,3017,Block 3017,15,33.7634045,-84.329345,15,15,0,15,14,1,0,0,0,0,0
96,94679,3018,Block 3018,32,33.7643037,-84.3311394,32,26,6,26,24,1,0,0,0,0,1
97,94680,3019,Block 3019,33,33.7634673,-84.3325706,33,30,3,30,28,2,0,0,0,0,0
98,94681,3020,Block 3020,33,33.7627233,-84.3311682,33,31,2,31,28,2,0,1,0,0,0
99,94682,3021,Block 3021,17,33.7624901,-84.3295238,17,15,2,15,15,0,0,0,0,0,0
100,94683,3022,Block 3022,23,33.762205,-84.3280128,23,22,1,22,22,0,0,0,0,0,0
101,94687,3026,Block 3026,23,33.764321,-84.329287,23,22,1,22,20,0,0,2,0,0,0
102,94688,3027,Block 3027,16,33.7611625,-84.3286551,16,16,0,16,14,0,0,0,0,0,2
103,94689,3028,Block 3028,22,33.7615387,-84.3297506,22,22,0,22,20,0,0,0,0,0,2
104,94691,3030,Block 3030,34,33.7609422,-84.3275283,34,30,4,30,25,4,0,1,0,0,0
105,94694,1000,Block 1000,19,33.7698642,-84.3404847,19,19,0,19,16,1,0,2,0,0,0
106,94695,1001,Block 1001,54,33.7699693,-84.3423172,54,43,11,43,36,4,0,2,0,0,1
107,94696,1002,Block 1002,81,33.770061,-84.3458134,81,73,8,73,64,6,0,2,0,1,0
108,94697,1003,Block 1003,169,33.7667499,-84.343176,169,154,15,154,129,16,0,5,0,0,4
109,94698,1004,Block 1004,35,33.7688141,-84.3427087,35,34,1,34,28,2,0,2,0,0,2
110,94699,1005,Block 1005,29,33.7684423,-84.3481215,29,26,3,26,23,2,0,0,0,0,1
111,94700,1006,Block 1006,24,33.7685524,-84.3461445,24,23,1,23,21,1,0,1,0,0,0
112,94701,1007,Block 1007,71,33.7654284,-84.3405778,71,65,6,65,61,0,0,3,0,0,1
113,94702,1008,Block 1008,150,33.7674326,-84.3406516,150,142,8,142,131,9,0,2,0,0,0
114,94703,1009,Block 1009,13,33.7664385,-84.3399239,13,13,0,13,13,0,0,0,0,0,0
115,94704,1010,Block 1010,30,33.7671577,-84.3479304,30,30,0,30,25,2,0,1,0,0,2
116,94705,1011,Block 1011,59,33.7663268,-84.3463144,59,56,3,56,55,0,0,1,0,0,0
117,94706,1012,Block 1012,45,33.7666067,-84.3451714,45,43,2,43,43,0,0,0,0,0,0
118,94707,1013,Block 1013,52,33.7657377,-84.347847,52,48,4,48,43,2,0,1,0,1,1
119,94709,2000,Block 2000,28,33.7642439,-84.3407948,28,25,3,25,20,1,0,2,0,0,2
120,94710,2001,Block 2001,25,33.7641234,-84.3425269,25,22,3,22,22,0,0,0,0,0,0
121,94711,2002,Block 2002,29,33.7640207,-84.3437966,29,29,0,29,26,2,0,1,0,0,0
122,94712,2003,Block 2003,39,33.7639457,-84.3449435,39,37,2,37,35,1,0,0,0,0,1
123,94713,2004,Block 2004,106,33.7629327,-84.3462126,106,101,5,101,86,7,1,5,0,2,0
124,94714,2005,Block 2005,74,33.7628269,-84.3475012,74,72,2,72,64,5,0,3,0,0,0
125,94715,2006,Block 2006,81,33.7628821,-84.3486238,81,77,4,77,63,9,0,1,0,2,2
126,94717,2008,Block 2008,33,33.762502,-84.3425325,33,33,0,33,30,0,0,0,0,0,3
127,94718,2009,Block 2009,11,33.7628208,-84.3403583,11,11,0,11,9,1,0,0,0,1,0
128,94722,2013,Block 2013,52,33.7621714,-84.3443959,52,46,6,46,31,12,0,0,0,1,2
129,94726,1000,Block 1000,22,33.7609089,-84.3427901,22,21,1,21,5,16,0,0,0,0,0
130,94727,1001,Block 1001,10,33.7605806,-84.3465738,10,8,2,8,1,6,0,0,0,0,1
131,94728,1002,Block 1002,16,33.7595447,-84.3466995,16,14,2,14,12,2,0,0,0,0,0
132,94729,1003,Block 1003,121,33.7593995,-84.3444249,121,119,2,119,28,89,0,1,0,0,1
133,94730,1004,Block 1004,42,33.7591208,-84.3428556,42,35,7,35,24,10,0,1,0,0,0
134,94731,1005,Block 1005,209,33.757182,-84.3473965,209,203,6,203,33,158,0,5,0,0,7
135,94732,1006,Block 1006,7,33.7559981,-84.3465023,7,7,0,7,3,3,0,0,0,1,0
136,94733,1007,Block 1007,23,33.7567388,-84.3446463,23,21,2,21,14,6,0,0,0,1,0
137,94734,1008,Block 1008,25,33.7571385,-84.3428977,25,23,2,23,17,6,0,0,0,0,0
138,94735,1009,Block 1009,12,33.755945,-84.3429377,12,11,1,11,7,4,0,0,0,0,0
139,94736,1010,Block 1010,26,33.7544266,-84.3440179,26,20,6,20,8,11,0,0,0,0,1
140,94737,1011,Block 1011,25,33.754448,-84.3452691,25,23,2,23,13,7,0,0,0,0,3
141,94738,1012,Block 1012,26,33.7546139,-84.3469985,26,21,5,21,7,12,0,2,0,0,0
142,94739,1013,Block 1013,30,33.7544115,-84.3486147,30,24,6,24,12,12,0,0,0,0,0
143,94740,1014,Block 1014,26,33.7544355,-84.3427124,26,26,0,26,12,12,0,1,0,0,1
144,94742,1016,Block 1016,65,33.7526709,-84.3459152,65,52,13,52,18,33,0,1,0,0,0
145,94743,1017,Block 1017,15,33.7535559,-84.347042,15,10,5,10,2,8,0,0,0,0,0
146,94744,1018,Block 1018,9,33.7520521,-84.3428188,9,4,5,4,1,3,0,0,0,0,0
147,94746,2000,Block 2000,34,33.7524953,-84.3310704,34,26,8,26,16,9,0,0,0,0,1
148,94747,2001,Block 2001,29,33.7524791,-84.3324481,29,28,1,28,11,16,0,0,0,0,1
149,94748,2002,Block 2002,16,33.7527535,-84.3337833,16,16,0,16,10,6,0,0,0,0,0
150,94749,2003,Block 2003,32,33.7513813,-84.3348202,32,31,1,31,22,8,0,0,0,0,1
151,94752,2006,Block 2006,23,33.7521876,-84.3381654,23,20,3,20,10,10,0,0,0,0,0
152,94753,2007,Block 2007,22,33.7515487,-84.3390971,22,20,2,20,7,13,0,0,0,0,0
153,94754,2008,Block 2008,35,33.7520571,-84.3401625,35,33,2,33,17,16,0,0,0,0,0
154,94755,2009,Block 2009,28,33.7520814,-84.3414269,28,26,2,26,11,15,0,0,0,0,0
155,94756,2010,Block 2010,18,33.7496108,-84.3383922,18,17,1,17,9,8,0,0,0,0,0
156,94757,2011,Block 2011,87,33.748694,-84.3359244,87,70,17,70,18,47,0,2,0,0,3
157,94758,2012,Block 2012,35,33.7503401,-84.3324883,35,31,4,31,13,16,0,2,0,0,0
158,94759,2013,Block 2013,31,33.7503218,-84.331103,31,30,1,30,12,17,0,1,0,0,0
159,94760,2014,Block 2014,19,33.7482563,-84.3311262,19,16,3,16,4,12,0,0,0,0,0
160,94761,2015,Block 2015,17,33.7482683,-84.3325021,17,15,2,15,4,11,0,0,0,0,0
161,94762,2016,Block 2016,47,33.7479741,-84.3342937,47,32,15,32,8,20,1,1,0,0,2
162,94763,2017,Block 2017,7,33.7493691,-84.3406316,7,5,2,5,2,3,0,0,0,0,0
163,94764,2018,Block 2018,29,33.7501608,-84.3410309,29,27,2,27,10,16,0,1,0,0,0
164,94765,2019,Block 2019,14,33.751074,-84.3428538,14,12,2,12,4,7,1,0,0,0,0
165,94766,2020,Block 2020,15,33.7510013,-84.3438318,15,12,3,12,6,6,0,0,0,0,0
166,94767,2021,Block 2021,21,33.7499429,-84.3441305,21,12,9,12,5,6,0,0,0,0,1
167,94768,2022,Block 2022,41,33.7502627,-84.3449621,41,29,12,29,10,18,0,0,0,0,1
168,94769,2023,Block 2023,36,33.7502926,-84.3459274,36,30,6,30,16,13,0,0,0,0,1
169,94770,2024,Block 2024,22,33.7516495,-84.3473289,22,17,5,17,10,7,0,0,0,0,0
170,94771,2025,Block 2025,12,33.7517593,-84.3486692,12,11,1,11,6,5,0,0,0,0,0
171,94772,2026,Block 2026,40,33.750241,-84.3486617,40,33,7,33,18,14,0,0,0,0,1
172,94773,2027,Block 2027,6,33.750693,-84.3477995,6,5,1,5,5,0,0,0,0,0,0
173,94774,2028,Block 2028,19,33.7503541,-84.3469547,19,19,0,19,9,9,0,1,0,0,0
174,94775,2029,Block 2029,4,33.7481684,-84.3459189,4,3,1,3,2,1,0,0,0,0,0
175,94776,2030,Block 2030,3,33.7482308,-84.3449803,3,3,0,3,1,2,0,0,0,0,0
176,94777,2031,Block 2031,42,33.7483445,-84.3433615,42,32,10,32,9,22,0,0,0,0,1
177,94778,2032,Block 2032,9,33.7488719,-84.3405458,9,2,7,2,2,0,0,0,0,0,0
178,94779,2033,Block 2033,132,33.7480824,-84.3398383,132,41,91,41,11,28,0,0,0,0,2
179,94780,2034,Block 2034,5,33.7488711,-84.3486147,5,5,0,5,3,2,0,0,0,0,0
180,94781,2035,Block 2035,7,33.7490245,-84.3477333,7,6,1,6,2,4,0,0,0,0,0
181,94782,2036,Block 2036,8,33.7498295,-84.3477912,8,7,1,7,3,4,0,0,0,0,0
182,94783,2037,Block 2037,13,33.7492189,-84.346984,13,8,5,8,2,5,0,0,0,0,1
183,94786,2040,Block 2040,9,33.7479394,-84.3484821,9,0,9,0,0,0,0,0,0,0,0
184,94787,2041,Block 2041,13,33.7480816,-84.3471345,13,10,3,10,3,6,0,0,0,0,1
185,94788,2042,Block 2042,8,33.750209,-84.3428031,8,8,0,8,4,3,0,0,0,0,1
186,94789,2043,Block 2043,41,33.7500291,-84.3351444,41,35,6,35,14,20,0,0,0,1,0
187,94793,1001,Block 1001,48,33.7588906,-84.3393624,48,32,16,32,14,15,0,0,0,1,2
188,94794,1002,Block 1002,21,33.7592179,-84.3403699,21,21,0,21,7,14,0,0,0,0,0
189,94795,1003,Block 1003,53,33.7579629,-84.34133,53,44,9,44,13,27,2,0,0,1,1
190,94796,1004,Block 1004,22,33.7563999,-84.3396531,22,19,3,19,6,12,0,0,0,0,1
191,94797,1005,Block 1005,9,33.7545105,-84.3389459,9,7,2,7,4,2,0,1,0,0,0
192,94798,1006,Block 1006,17,33.7543702,-84.3394635,17,15,2,15,4,10,0,0,0,0,1
193,94799,1007,Block 1007,12,33.7544287,-84.3402033,12,8,4,8,1,7,0,0,0,0,0
194,94800,1008,Block 1008,23,33.7544189,-84.3413742,23,22,1,22,10,12,0,0,0,0,0
195,94805,2003,Block 2003,3,33.7615371,-84.3360304,3,3,0,3,2,0,0,0,0,0,1
196,94806,2004,Block 2004,397,33.7583923,-84.3332313,397,357,40,357,272,57,1,17,0,5,5
197,94807,2005,Block 2005,13,33.7570242,-84.3370218,13,12,1,12,0,12,0,0,0,0,0
198,94808,2006,Block 2006,208,33.7565277,-84.3350561,208,204,4,204,0,203,0,0,0,1,0
199,94811,2009,Block 2009,20,33.7542295,-84.3297663,20,16,4,16,10,5,0,1,0,0,0
200,94812,2010,Block 2010,20,33.7544104,-84.331031,20,19,1,19,11,6,1,0,0,0,1
201,94813,2011,Block 2011,23,33.7543956,-84.3324297,23,19,4,19,13,5,0,1,0,0,0
202,94814,2012,Block 2012,22,33.7542507,-84.3337137,22,19,3,19,8,11,0,0,0,0,0
203,94815,2013,Block 2013,4,33.7578286,-84.3379928,4,4,0,4,0,4,0,0,0,0,0
204,94816,2014,Block 2014,12,33.758809,-84.3379802,12,12,0,12,4,6,0,1,0,0,1
205,94817,2015,Block 2015,12,33.7544521,-84.3371198,12,8,4,8,5,3,0,0,0,0,0
206,94818,2016,Block 2016,17,33.756508,-84.3379914,17,13,4,13,2,10,1,0,0,0,0
207,94819,2017,Block 2017,13,33.7569986,-84.3360561,13,11,2,11,1,9,0,0,0,0,1
208,94822,1000,Block 1000,41,33.7567313,-84.3274138,41,37,4,37,20,17,0,0,0,0,0
209,94823,1001,Block 1001,48,33.7581172,-84.3253239,48,46,2,46,27,18,0,1,0,0,0
210,94824,1002,Block 1002,22,33.754887,-84.3243947,22,22,0,22,13,8,0,1,0,0,0
211,94825,1003,Block 1003,19,33.7558658,-84.324428,19,17,2,17,8,8,0,1,0,0,0
212,94827,1005,Block 1005,47,33.7582747,-84.3239085,47,46,1,46,28,15,0,2,0,1,0
213,94828,1006,Block 1006,12,33.7537248,-84.3252958,12,10,2,10,6,2,0,0,0,0,2
214,94829,1007,Block 1007,18,33.7533962,-84.3239824,18,17,1,17,9,8,0,0,0,0,0
215,94830,1008,Block 1008,149,33.7510825,-84.3247964,149,110,39,110,19,91,0,0,0,0,0
216,94831,1009,Block 1009,3,33.7529894,-84.326985,3,2,1,2,0,0,0,0,0,1,1
217,94832,1010,Block 1010,117,33.7509646,-84.3285503,117,103,14,103,51,47,0,1,0,0,4
218,94834,1012,Block 1012,146,33.7482597,-84.3285801,146,106,40,106,11,88,0,2,0,0,5
219,94835,1013,Block 1013,21,33.7484364,-84.3267501,21,16,5,16,8,8,0,0,0,0,0
220,94836,1014,Block 1014,28,33.7484153,-84.3257528,28,18,10,18,8,9,0,0,0,0,1
221,94837,1015,Block 1015,20,33.7483968,-84.3247654,20,12,8,12,7,5,0,0,0,0,0
222,94838,1016,Block 1016,19,33.7483795,-84.3237895,19,15,4,15,12,3,0,0,0,0,0
223,94839,1017,Block 1017,24,33.7483504,-84.322551,24,19,5,19,9,10,0,0,0,0,0
224,94840,1018,Block 1018,52,33.750139,-84.3221291,52,40,12,40,23,16,1,0,0,0,0
225,94841,1019,Block 1019,22,33.7483693,-84.321309,22,14,8,14,9,5,0,0,0,0,0
226,94844,2001,Block 2001,14,33.7609554,-84.3211421,14,13,1,13,4,8,0,0,0,0,1
227,94845,2002,Block 2002,84,33.758782,-84.322337,84,72,12,72,37,34,0,0,0,0,1
228,94846,2003,Block 2003,48,33.7599335,-84.3209152,48,43,5,43,12,29,0,0,0,0,2
229,94847,2004,Block 2004,41,33.7582781,-84.3208525,41,31,10,31,22,7,0,1,0,1,0
230,94848,2005,Block 2005,18,33.7567049,-84.3208827,18,18,0,18,14,4,0,0,0,0,0
231,94849,2006,Block 2006,28,33.7560761,-84.3224465,28,26,2,26,23,2,0,1,0,0,0
232,94850,2007,Block 2007,19,33.755765,-84.320928,19,19,0,19,8,8,0,1,0,0,2
233,94852,2009,Block 2009,13,33.7548649,-84.3224384,13,13,0,13,8,4,0,0,0,0,1
234,94853,2010,Block 2010,17,33.7538051,-84.3224438,17,15,2,15,10,5,0,0,0,0,0
235,94854,2011,Block 2011,11,33.7522559,-84.3224637,11,10,1,10,6,4,0,0,0,0,0
236,94855,2012,Block 2012,18,33.7528646,-84.320951,18,15,3,15,7,7,0,1,0,0,0
237,94856,2013,Block 2013,14,33.7517838,-84.320936,14,14,0,14,9,4,0,1,0,0,0
238,94859,1000,Block 1000,21,33.755278,-84.3126598,21,20,1,20,11,9,0,0,0,0,0
239,94860,1001,Block 1001,21,33.7546421,-84.3109533,21,17,4,17,10,6,0,0,0,1,0
240,94861,1002,Block 1002,15,33.7539365,-84.3128596,15,14,1,14,9,5,0,0,0,0,0
241,94862,1003,Block 1003,11,33.7543608,-84.313677,11,10,1,10,3,6,0,0,0,0,1
242,94863,1004,Block 1004,27,33.7543729,-84.3154234,27,26,1,26,14,11,0,0,0,0,1
243,94864,1005,Block 1005,25,33.7541319,-84.3168352,25,17,8,17,11,6,0,0,0,0,0
244,94865,1006,Block 1006,20,33.7542328,-84.3180453,20,19,1,19,15,4,0,0,0,0,0
245,94866,1007,Block 1007,27,33.7542452,-84.3194277,27,25,2,25,14,7,1,2,0,0,1
246,94867,1008,Block 1008,17,33.7527666,-84.3194362,17,17,0,17,8,9,0,0,0,0,0
247,94868,1009,Block 1009,30,33.752188,-84.3180844,30,25,5,25,15,10,0,0,0,0,0
248,94869,1010,Block 1010,27,33.7521772,-84.3168216,27,26,1,26,16,10,0,0,0,0,0
249,94870,1011,Block 1011,19,33.752385,-84.3152981,19,18,1,18,11,7,0,0,0,0,0
250,94871,1012,Block 1012,12,33.7522843,-84.3140858,12,12,0,12,8,4,0,0,0,0,0
251,94872,1013,Block 1013,24,33.7519573,-84.3131351,24,23,1,23,14,9,0,0,0,0,0
252,94873,1014,Block 1014,23,33.7533522,-84.3118863,23,22,1,22,12,9,0,0,0,0,1
253,94876,1017,Block 1017,31,33.7503406,-84.3169694,31,27,4,27,13,14,0,0,0,0,0
254,94877,1018,Block 1018,30,33.7502464,-84.318596,30,29,1,29,17,12,0,0,0,0,0
255,94878,1019,Block 1019,14,33.7517465,-84.3194739,14,11,3,11,4,6,0,0,0,0,1
256,94879,1020,Block 1020,3,33.7505632,-84.3204997,3,2,1,2,0,2,0,0,0,0,0
257,94880,1021,Block 1021,27,33.7484894,-84.3201945,27,24,3,24,15,8,1,0,0,0,0
258,94881,1022,Block 1022,29,33.7484398,-84.3175763,29,24,5,24,14,10,0,0,0,0,0
259,94882,1023,Block 1023,7,33.7505111,-84.3156906,7,4,3,4,2,2,0,0,0,0,0
260,94883,1024,Block 1024,6,33.7504811,-84.3147114,6,6,0,6,1,4,0,0,0,0,1
261,94884,1025,Block 1025,7,33.7507209,-84.3137974,7,6,1,6,3,3,0,0,0,0,0
262,94885,1026,Block 1026,15,33.747999,-84.3155858,15,14,1,14,9,5,0,0,0,0,0
263,94886,1027,Block 1027,20,33.7481866,-84.3147287,20,20,0,20,11,6,0,2,0,1,0
264,94889,2001,Block 2001,19,33.7635179,-84.3160772,19,19,0,19,13,6,0,0,0,0,0
265,94890,2002,Block 2002,33,33.7625143,-84.3177114,33,26,7,26,15,11,0,0,0,0,0
266,94891,2003,Block 2003,39,33.7627971,-84.3153267,39,37,2,37,21,13,0,1,0,0,2
267,94892,2004,Block 2004,44,33.7629478,-84.3141265,44,39,5,39,15,23,0,0,0,1,0
268,94894,2006,Block 2006,36,33.7624764,-84.3129606,36,32,4,32,18,12,0,1,0,0,1
269,94895,2007,Block 2007,26,33.7588924,-84.3125948,26,25,1,25,14,11,0,0,0,0,0
270,94896,2008,Block 2008,38,33.759489,-84.3133016,38,36,2,36,10,25,0,1,0,0,0
271,94897,2009,Block 2009,40,33.759586,-84.3142874,40,39,1,39,18,19,0,0,0,1,1
272,94898,2010,Block 2010,70,33.7588813,-84.3154303,70,64,6,64,42,22,0,0,0,0,0
